------------------------------------------------------------
Client connecting to 10.0.2.22, TCP port 5001 with pid 176129
Write buffer size:  128 KByte
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  3] local 10.0.1.11 port 35030 connected with 10.0.2.22 port 5001 (ct=41.04 ms)
[ ID] Interval            Transfer    Bandwidth       Write/Err  Rtry     Cwnd/RTT        NetPwr
[  3] 37.6200-37.8000 sec   255 KBytes  11.6 Mbits/sec  3/0          2       39K/32289 us  44.84
[  3] 37.8000-37.9800 sec   191 KBytes  8.69 Mbits/sec  2/0          0       46K/38125 us  28.49
[  3] 37.9800-38.1600 sec   127 KBytes  5.79 Mbits/sec  1/0          0       53K/44177 us  16.39
[  3] 38.1600-38.3400 sec   191 KBytes  8.69 Mbits/sec  2/0          0       56K/46626 us  23.29
[  3] 38.3400-38.5200 sec   255 KBytes  11.6 Mbits/sec  2/0          0       62K/51409 us  28.17
[  3] 38.5200-38.7000 sec   191 KBytes  8.69 Mbits/sec  2/0          0       66K/54584 us  19.90
[  3] 38.7000-38.8800 sec   255 KBytes  11.6 Mbits/sec  2/0          0       72K/59553 us  24.31
[  3] 38.8800-39.0600 sec   191 KBytes  8.69 Mbits/sec  2/0          2       50K/61648 us  17.62
[  3] 39.0600-39.2400 sec   191 KBytes  8.69 Mbits/sec  2/0          0       39K/32446 us  33.47
[  3] 39.2400-39.4200 sec   191 KBytes  8.69 Mbits/sec  2/0          0       46K/38006 us  28.57
[  3] 39.4200-39.6000 sec   255 KBytes  11.6 Mbits/sec  2/0          0       53K/43589 us  33.22
[  3] 39.6000-39.7800 sec   191 KBytes  8.69 Mbits/sec  2/0          0       59K/47701 us  22.77
[  3] 39.7800-39.9600 sec   255 KBytes  11.6 Mbits/sec  2/0          0       65K/52473 us  27.60
[  3] 39.9600-40.1400 sec   191 KBytes  8.69 Mbits/sec  2/0          0       69K/56736 us  19.14
[  3] 40.1400-40.3200 sec   127 KBytes  5.79 Mbits/sec  1/0          0       73K/61371 us  11.80
[  3] 40.3200-40.5000 sec   191 KBytes  8.69 Mbits/sec  2/0          2       43K/61749 us  17.59
[  3] 40.5000-40.6800 sec   255 KBytes  11.6 Mbits/sec  3/0          0       39K/32418 us  44.67
[  3] 40.6800-40.8600 sec   255 KBytes  11.6 Mbits/sec  2/0          0       50K/41565 us  34.84
[  3] 40.8600-41.0400 sec   255 KBytes  11.6 Mbits/sec  2/0          0       56K/46201 us  31.34
[  3] 41.0400-41.2200 sec   191 KBytes  8.69 Mbits/sec  2/0          0       62K/50881 us  21.34
[  3] 41.2200-41.4000 sec   127 KBytes  5.79 Mbits/sec  1/0          0       66K/54429 us  13.30
[  3] 41.4000-41.5800 sec   255 KBytes  11.6 Mbits/sec  2/0          0       69K/57167 us  25.33
[  3] 41.5800-41.7600 sec   127 KBytes  5.79 Mbits/sec  2/0          2       35K/59969 us  12.07
[  3] 41.7600-41.9400 sec   318 KBytes  14.5 Mbits/sec  3/0          0       39K/32123 us  56.35
[  3] 41.9400-42.1200 sec   191 KBytes  8.69 Mbits/sec  2/0          0       49K/40161 us  27.04
